darija,eng,darija_ar
chkoun ly bkak ?,What made you cry ?,شكون لي بكاك ?
chhal mn wahad adani fhyati,Many people hurt me in my life,شحال من واحاد أداني فحياتي
chkoun adak ?,Who hurted you ?,شكون أداك ?
maghadich nhasbhoum,I'm not going to judge or punish them for what happened,ماغاديش نحاسبهوم
chkoun ghadi ihasbhoum ?,Who is going to judge them?,شكون غادي إحاسبهوم ?
3lach mahasbtihoumch ?,Why didn't you judge them ?,علاش ماتحاسبيهومش ?
maghadich ndayi3 wa9ti 3lihoum,I am not going to waste my time with them,ماغاديش نضاييع واقتي عليهوم
aslan maystahliuch,They don't deserve,أصلا مايستاهليوش
3datni 3a9rab,I was bitten by a scorpion,عضاتني عاقراب
dowzat 3liya lwil,She tortured me,دووزات علييا لويل
galt wach ghanmout,She said if ever I am going to die,ڭالت واش غانموت
sa3a hani mazala flhayat,Yet I am still alive,ساعا هاني مازالا فالحياة
khasha t3awad kolchi mn lowal,She should tell everything from the beginnng,خاصها تعاواد كولشي من لووال
hadi hiya lkhdma lm3awda,that's the repeated work,هادي هييا لخدما لمعاودا
kaygoul liha rasha ma3raft chno,I don't know what she thinks she is,كايڭول ليها راسها ماعرافت شنو
dima hiya mtkabra,She's always arrogant,ديما هييا متكابرا
goli lina achti lma9adir,Tell us the receipt sister,ڭولي لينا أختي لماقادير
achnou kadiri khlini nchouf,What are you doing ? let me see,أشنو كاديري خليني نشوف
hadchi dialk wch mslkk?,Is this stuff good for you ?,هادشي ديالك وش مسلكّ?
n9sti bzaf,You have been dicreased a lot,نقستي بزاف
ahssan fikra derti,The best idea you've ever done,أحسن فكرة درتي
lclient jdad ido9o,Let the new client taste,لكليان جداد إدوقو
khashom i3arfo som3tek,The should know your reputation,خاسهوم إعارفو سومعتك
dik sa3a diri li mselkek,Then do whatever is good for you,ديك ساعا ديري لي مسلكك
ana fach bdit kano nas igolo li no9si khaski tkasbi kliyan,,أنا فاش بديت كانو ناس إڭولو لي نوقسي خاسكي تكاسبي كلييان
rangol lik men tajribti,I will tell you based on my experience,رانڭول ليك من تاجريبتي
lkliyan kaybghi lma39ol n9a wljawda,The clients want serious cleanty and quality,لكلييان كايبغي الماعقول نقا والجاودا
nas kaybghiw taman ma29ol,People want a reasonable price,ناس كايبغيو ثمن معقول
kaday3 rasha kolchi ghali,She's losing herself everything is expensive,كاضيع راسها كولشي غالي
taman limsalkha diro men nhar lawl,She should put the best price for her since the first day,تامان ليمسالكها ديرو من نهار لاول
mafhamtch 3lach katn9si ftaman,I don't understand why are you dicreasing the price,مافهامتش علاش كاتنقصي فالثمن
rah daba sal3a ghlat,The products are now expensive,راه دابا السلعة غلات
ila bditi katn9si nas kaywlfouha,If you are starting to dicrease people will get used to it,إلا بديتي كاتنقسي ناس كايولفوها
ana maghandirch bhalk,I will not do as you did,أنا ماغانديرش بحالك
mn lawal ghanbi3 btaman 3adi,I will sell with an average price since the beginning,من لاوال غانبيع بثمن عادي
maghanbi3ch btaman na9s,I will not sell with a low price,ماغانبيعش بثمن ناقس
ndiroha fach netla9aw,We will make it once we meet each other,نديروها فاش نتلاقاو
hna rah dima kankhatro,We always negociate,هنا راه ديما كانتخاترو
ma3raft imta ghantla9aw,I don't know when are we going to meet,ماعرافت إمتا غانتلاقاو
lmawa3id dialna makaysd9och,Our dates do not go as expected,لماواعيد ديالنا ماكايصدقوش
wach ntla9aw m3a sahbtna ?,Should we meet her friend ?,واش نتلاقاو معا صاحبتنا ?
kandan bli hiya mamsaliyach,I think she does not have time,كانظن بلي هييا مامساليياش
wlat dima machghola mouakharan,She is always busy lately, ولات ديما مشغولا مؤخرا
nti masawaltihach ?,You did not ask her ?,نتي ماساوالتيهاش ?
ila swltiha za3ma tgol lina saraha, If you asked her, is she going to tell us the truth ?,إلا سولتيها زاعما تڭول لينا الصراحة
chhal dl fdoul fina ?,How curious are we ?,شحال ديال الفضول فينا ?
hna rah shabat,We are friends,حنا راه صحابات
khasna n3arfou kolchi 3la b3diyatna,We should know anything on each other,خاسنا نعارفو كولشي علا بعضيياتنا
wach mtakda bli hadchi likhasou ikon?,Are you sure this is what should happen ?,واش متاكدا بلي هادشي ليخاسو إكون?
maghanfrad 3la hta chi wahad chihaja,I am not going to force anything on anyone,ماغانفرض علا حتا شي واهاد شيحاجة
hta nti matgolich liha asrark,Do not tell her your secrets too,حتا نتي ماتڭوليش ليها أسرارك
ana za3ma tay9a fiha,I put my trust in her,أنا زاعما تايقا فيها
knt kangolikom kolchi,I used to tell you everything,كنت كانڭوليكوم كولشي
daba ghanghayar mn hadchi,Now I will change this,دابا غانغايار من هادشي
ana sayma lyoum,I am fasting today,أنا صايما ليوم
wach hta malin dar?,Also my family ?,واش حتا مالين دار?
malin dar yalah tghdaw,My family has just had lunch,مالين دار يالاه تغداو
ana ghansafar had l3otla,I am going to travel this holiday,أنا غانسافار هاد لعوطلا
hadchi libghat lwa9t,That's what's wanted,هادشي ليبغات لواقت
kansma3 lmosi9a bzaf,I listen to music a lot,كانسماع لموسيقا بزاف
chkon lizad lmosi9a,Who has raised the music?,شكون ليزاد لموسيقا
dima kaybarztona,They're always bothering us,ديما كايبارزتونا
wach ma3arfinch bli nas na3sin,Didn't you know that people are sleeping ?,واش ماعارفينش بلي ناس ناعسين
rah 3ya9 fhadchi likaydir,He exaggerated what he's doing,راه عياق فهادشي ليكايدير
wach houwa makayfakarch,Doesnt he think ?,واش هووا ماكايفاكارش
ana blastou mlit,In his place I am bored,أنا بلاستو مليت
ga3 nas kayrdo lbak lhad l9adiya,All people are aware of this matter,ڭاع ناس كايردو لباك لهاد لقادييا
houwa bhal ila 3aych ,as if he lives,هووا بحال إلا عايش
m3a lhayawanat,With animals,معا الحيوانات
safi salit khdmti,I am done with my work,سافي ساليت خدمتي
sb9tha mazal ,I preceded her,سبقتها مازال
wakha ana ba9i m3tla,Even if I'm still late,واخا أنا باقي معطلا
bla madhki 3liya,Don't laugh at me,بلا ماضحكي علييا
ghadi dir mazal lghda,Are you still going to prepare lunch,غادي دير مازال لغدا
ana ghanwli labas 3liya,I will become rich,أنا غانولي لاباس علييا
kay3jboni ndadrha,I like her glasses,كايعجبوني ندادرها
chhal 9sira mskina,How short she is, poor thing,شحال قصيرة مسكينا
katlbsi lhawayj kbar,You wear oversized clothes,كاتلبسي لحوايج كبار
dima m3dya 3liya,She's always trespassing me,ديما معديا علييا
katl9 3liya ch3rha twil,She lets her long hair down on me,كاتلق علييا شعرها طويل
bghit sak kbir,I want a big bag,بغيت ساك كبير
kay3jbni sak lkhl,I like the black bag,كايعجبني ساك لكحل
bghit sak fih 4 djyab,I want a bag with 4 pockets,بغيت ساك فيه 4 دجياب
sikanha kolhom zwinin,Their bags are all beautiful,سيكانها كولهوم زوينين
lon l9hwi zwin,The brown color is beautiful,لون لقهوي زوين
kanbghi lwrd,I love flowers,كانبغي لورد
lworod lhmrin kay3jboni,I like red flowers,لوورود لحمرين كايعجبوني
bla matchri lwrd sfr,Don't buy yellow flowers,بلا ماتشري لورد صفر
katjib liya dayman lwrd,She always brings flowers to me,كاتجيب لييا دايمان لورد
ghanghrs lwrd fjrda dyali,I am planting flowers in my garden,غانغرس لورد فجردا ديالي
jrda dyali zwina,My garden is beautiful,جردا ديالي زوينا
bghit nchri tlfaza,I want to buy a TV,بغيت نشري تلفازا
tlfaza dyalha kbira,Her TV is big,تلفازا ديالها كبيرا
3tini charjo dyali,Give me my charger,عتيني شارجو ديالي
mchat tani 3ndk nas,She went again to those people,مشات تاني عندك ناس
ghir kador fzna9i,He is just running around the streets,غير كادور فزناقي
kat9lb ghir fin tkhcha,She is just looking for where to position herself,كاتقلب غير فين تخشا
kat3yt 3lihom tani,You are calling them again,كاتعيت عليهوم تاني
khbarha 3rfoha nas,People know her news,خبارها عرفوها ناس
bla mat3y9i tani,Don't exaggerate again,بلا ماتعيقي تاني
chhal fiha dlhdra,She speaks a lot,شحال فيها دلهدرا
dayman katkhrj,She always goes out,دايمان كاتخرج
bla matgoliha lihom,Don't tell them,بلا ماتڭوليها ليهوم
galt liya sayma lyom,She told me she is fasting today,ڭالت لييا صايما ليوم
ghansom simana jay,I am fasting newt week,غانصوم سيمانا جاي
chhal smti had chhr,How many times have you fasted this month,شحال صمتي هاد شهر
zwin syam lsha,Fasting is good for the health,زوين صيام للصحة ا
bla matb9ay t3awdi lhdra,Don't repeat the same talk,بلا ماتبقاي تعاودي لهدرا
3ziz 3liha khbar nas,She loves hearing others news,عزيز عليها خبار ناس
kay3jbha tb9a tswl,She loves keeping asking,كايعجبها تبقا تسول
lhdra bzf mamzyanach,It's not good speaking a lot,لهدرا بزف مامزياناش
t9ada liya tid,My washing powder is finished ,تقادا لييا تيد
tid kayn9i lhwayj,Washing powder cleans clothes,تيد كاينقي لحوايج
sbni hwayj rah moskhin,wash your clothes they are dirty,ضبني حوايج راه موسخين
srwalk wla khl bloskh,Your pant became black because of the dirt,سروالك ولا كحل بلوسخ
lbsi pinwark kayn lbrd,Wear your robe it's cold,لبسي پينوارك كاين لبرد
zwina had lpinwar fih jib,This robe is beautiful it contains a pocket,زوينا هاد لپينوار فيه جيب
hwayjha kay3jboni,I love her clothes,حوايجها كايعجبوني
kat3rf tlbs,She knows how to choose her clothes,كاتعرف تلبس
rihtha wa3ra,She smells good,ريحتها واعرا
khsni nchri riha,I have to buy a parfume,خسني نشري ريحا
riha dyal lmsk,Smell of musk,ريحا ديال لمسك
katb9a riha flhwayj,The parfume stays in the clothes,كاتبقا ريحا فلحوايج
matkhrjich bla riha,Don't go out without putting on perfume,ماتخرجيش بلا ريحا
rbht wahd lbaliza,I won a suitcase,ربحت واحد لباليزا
3ndi baliza f lgri,I have a grey suitcase,عندي باليزا ف لڭري
kbira had lbaliza,This suitcase is big,كبيرا هاد لباليزا
3jbatni bzf,I liked it so much,عجباتني بزف
wach ghatdiha m3ak,Are you taking it with you,واش غاتديها معاك
kant tri9 twila,The road was so long,كان طريق تويلا
imta ghatjiw,When are you coming,إمتا غاتجيو
3ndi wahd lmaryo,I have a wardrobe,عندي واحد لماريو
lon dlmaryo 9hwi,The wardrobe color is brown,لون دلماريو قهوي
chrit wahd l3sara,I bought a juicer,شريت واهد لعصارا
kansayb l3asir,I am making juice,كانصايب لعاصير
kandir l3asir lbanan,I am making banana juice,كاندير فلعاصير لبانان
kanchrbo l3asir,We are drinking juice,كانشربو لعاصير
chrbt kas d atay,I drink a cup of tea,شربت كاس د أتاي
twi kwachk,Fold up you blankets,طوي كواشك
chal mn kacha 3ndk,How many blankets do you have ?,شال من كاشا عندك
3ndi 10 dlkwach,I have 10 blankets,عندي 10 دلكواش
ylh nbato fih,Let's sleep there,يله نباتو فيه
btna fih simana,We stayed there for a week,بتنا فيه سيمانا
3jbatni dark skhona,I liked your house it's worm,عجباتني دارك سخونا
mabghach idini n3as,I couldn't sleep,مابغاش إديني نعاس
f9na fnafs lo9t,We woke up at the same time,فقنا فنافس لوقت
ana drt bzf dchghl,I have done lot of work,أنا درت بزف دشغل
ana m3gaza lyom,I am lazy today,أنا معڭازا ليوم
mabghitch nsgi lma,I don't want to bring water,مابغيتش نسڭي لما
lma dl3in bnin,The water of the spring is deliscious,لما دلعين بنين
chal mn mra bkiti,How many times have you cried ?,شال من مرا بكيتي
makanbkiich bzf,,ماكانبكيّش بزف
dhk zwin lsha,,دهك زوين لسها
dhko albnat,,دهكو ألبنات
aji ata srbi,,أجي أتا سربي
lala ghi siro t9l9t,,لالا غي سيرو تقلقت
nti dima m9l9a,,نتي ديما مقلقا
mamzyanch t9la9,,مامزيانش تقلاق
ghi siro 3sbtoni,,غي سيرو عسبتوني
nti li katgoliha,,نتي لي كاتڭوليها
chrit pc,,شريت پك
wach l pc ghali,,واش ل پك غالي
mathzich liya pc dyali,,ماتهزيش لييا پك ديالي
sta3mlih lyom,,ستاعمليه ليوم
khdam mzyan l pc,,خدام مزيان ل پك
3ndi bhal dak lpc,,عندي بهال داك لپك
haki pc dyalk,,هاكي پك ديالك
hzi liya lmkhda,,هزي لييا لمخدا
nfi9o sbah bkri,,نفيقو سباه بكري
3lch ghatfi9i bkri,,علش غاتفيقي بكري
ghanmchi nchof mama,,غانمشي نشوف ماما
mama 3ziza 3liya,,ماما عزيزا علييا
mama hiya li rbatni,,ماما هييا لي رباتني
ghadi nkhrjha ghda,,غادي نخرجها غدا
bghiti tmchi m3ana,,بغيتي تمشي معانا
ylh nmchiw kamlin,,يله نمشيو كاملين
ghaydini m3ak,,غايديني معاك
khoti 3zaz 3liya,,خوتي عزاز علييا
bla matgolhach liha,,بلا ماتڭولهاش ليها
t3amli m3aha mza,,تعاملي معاها مزا
hsn tmchi tanti,,هسن تمشي تانتي
khrjti dghya mn tma,,خرجتي دغيا من تما
achno bghiti db,,أشنو بغيتي دب
bghit tkhrji,,بغيت تخرجي
ylh hani mchit,,يله هاني مشيت
mabghitch lflos,,مابغيتش لفلوس
safi bla matkhdmi,,سافي بلا ماتخدمي
khrji db abnti,,خرجي دب أبنتي
ma9rina walo lyom,,ماقرينا والو ليوم
wach bghiti tkhrji 3liya,,واش بغيتي تخرجي علييا
rah mchiti fiha,,راه مشيتي فيها
ana mkhasma m3aha,,أنا مخاسما معاها
achno dart lik,,أشنو دارت ليك
khdat liya stylo,,خدات لييا ستيلو
wach 3ndk ghir wahd,,واش عندك غير واهد
wahd li 3ndi safi,,واهد لي عندي سافي
rah ghali bzf,,راه غالي بزف
la matgolihach liha,,لا ماتڭوليهاش ليها
bla sda3 tani,,بلا سداع تاني
skto 3liya,,سكتو علييا
maghadich nskt,,ماغاديش نسكت
3lch matdktich,,علش ماتدكتيش
maghansktch 3la h9i,,ماغانسكتش علا هقي
achnahoma lho9o9 howa li mabghach,,أشناهوما لهوقوق هووا لي مابغاش
khlihom blach,,خليهوم بلاش
aji hsi sak,,أجي هسي ساك
sak t9il,,ساك تقيل
wach bsh t9il bzf,,واش بسه تقيل بزف
rah haza fih lhjr,,راه هازا فيه لهجر
shti hiya lwla,,سهتي هييا لولا
wach 3yiti lyom,,واش عييتي ليوم
3yit hit tmchit bzf,,عييت هيت تمشيت بزف
wach bghiti tn3si,,واش بغيتي تنعسي
mabghitch n3as,,مابغيتش نعاس
rah mzyan lik rtahi,,راه مزيان ليك رتاهي
rah htahit bzf,,راه هتاهيت بزف
raha zwina bzf,,راها زوينا بزف
iwa bla mat3y9i,,إوا بلا ماتعيقي
jani n3as bzf,,جاني نعاس بزف
aji db 3ndi,,أجي دب عندي
wach kayna mamak fdar,,واش كاينا ماماك فدار
darna zwina,,دارنا زوينا
wach zwina kolha,,واش زوينا كولها
3ndhom frach bldi,,عندهوم فراش بلدي
wach lfrach t9lidi ?,,واش لفراش تقليدي ?
rah zwin t9lidi,,راه زوين تقليدي
chfti had zrbiya kbira,,شفتي هاد زربييا كبيرا
ah zwina kbira bzf,,أه زوينا كبيرا بزف
rah mzyan tkon sghira,,راه مزيان تكون سغيرا
la hadi sghira bzf,,لا هادي سغيرا بزف
fin sbati lkhdr,,فين سباتي لخدر
wach 3ndk sbat khdr 3ndi bzf d sbabt,,واش عندك سبات خدر عندي بزف د سبابت
haki sbatk lbsih,,هاكي سباتك لبسيه
wach ja m3aya lon,,واش جا معايا لون
zwinin had lwan,,زوينين هاد لوان
3ziza 3liha khti,,عزيزا عليها ختي
wach khok zwin,,واش خوك زوين
khowa zwin bzf,,خووا زوين بزف
matmchiw ghda,,ماتمشيو غدا
bla matmchi ga3,,بلا ماتمشي ڭاع
wach ghda ghayji,,واش غدا غايجي
ja lyom fsbah,,جا ليوم فسباه
nad rbi3 mza,,ناد ربيع مزا
wach lkhdra rkhisa,,واش لخدرا رخيسا
had l3am ghalya lkhdra,,هاد لعام غاليا لخدرا
wach chriti kolchi lkhdra,,واش شريتي كولشي لخدرا
mabghitch nchriha db,,مابغيتش نشريها دب
zwina hadi bzf,,زوينا هادي بزف
rah lkhdra sihiya,,راه لخدرا سيهييا
mabghacg isali lhsab,,مابغاكڭ إسالي لهساب
hyit manhsb,,هييت مانهسب
droni 3ini lyom,,دروني عيني ليوم
rah 3yana bzf,,راه عيانا بزف
mabghitch n3ya lyom,,مابغيتش نعيا ليوم
lyom mohim bnisba liya,,ليوم موهيم بنيسبا لييا
ach h99ti fhyatk,,أش هقّتي فهياتك
h99t bzf lyom,,هقّت بزف ليوم
h99ti chi injazat,,هقّتي شي إنجازات
fin ndadri abnadm,,فين ندادري أبنادم
mabghitch njawbk,,مابغيتش نجاوبك
kay3jboni lmoslsalat,,كايعجبوني لموسلسالات
bghit ntfrj m3ak,,بغيت نتفرج معاك
f9t lyoma bkr,,فقت ليوما بكر
f9t ftrt mzyan,,فقت فترت مزيان
klit lyom lkhbz olfrmaj,,كليت ليوم لخبز أُلفرماج
ghanmchi ntyb tajin,,غانمشي نتيب تاجين
bghit jlaba,,بغيت جلابا
achno lon zwin?,,أشنو لون زوين?
3ziz 3liya sfr,,عزيز علييا سفر
bghit nsafr db,,بغيت نسافر دب
chriti jlaba,,شريتي جلابا
zifk zwin,,زيفك زوين
achmn no3 3ndk?,,أشمن نوع عندك?
achmit bak?,,أشميت باك?
wach hadi khtk?,,واش هادي ختك?
siri ldarkom,,سيري لداركوم
aji 3ndna,,أجي عندنا
bla matgoliha,,بلا ماتڭوليها
khoya zwin,,خويا زوين
kbira had dar,,كبيرا هاد دار
sd3ona hado,,سدعونا هادو
nhar kaml machftha,,نهار كامل ماشفتها
jat 3ndk lyom,,جات عندك ليوم
ghi goliha liha,,غي ڭوليها ليها
bghit mrayti,,بغيت مرايتي
mrayti roziya,,مرايتي روزييا
kbira bzf had tbla,,كبيرا بزف هاد تبلا
chkoun lichraha lik,,شكون ليشراها ليك
tbla rmadiya,,تبلا رمادييا
ach ghanht ftbla,,أش غانهت فتبلا
wach mat9ditich lbareh,,واش ماتقديتيش لباره
baba lbarh kan fsou9,,بابا لباره كان فسوق
achnou jab mn sou9 ?,,أشنو جاب من سوق ?
mama makantch fdar,,ماما ماكانتش فدار
kant 3and wahd sahbtha fdar,,كانت عاند واهد ساهبتها فدار
imta mchat m3aha,,إمتا مشات معاها
wach makatmchich m3a bak lsou9,,واش ماكاتمشيش معا باك لسوق
hti lina atay olhlwa,,هتي لينا أتاي أُلهلوا
wach ba9a lhlwa,,واش باقا لهلوا
sawbat liya khalti hlwa,,ساوبات لييا خالتي هلوا
bniina had lhlwa,,بنيّنا هاد لهلوا
3ziz 3liha tanaw3,,عزيز عليها تاناوع
mataklich bzf,,ماتاكليش بزف
rah skar machi sihi,,راه سكار ماشي سيهي
koli ghir chwiya,,كولي غير شوييا
chrbti atay,,شربتي أتاي
atay bn3na3 zwin,,أتاي بنعناع زوين
katchrbi chiba,,كاتشربي شيبا
lhdra dyalha khayba,,لهدرا ديالها خايبا
malki katjri,,مالكي كاتجري
jra 3liya wahd chfar,,جرا علييا واهد شفار
sr9o liya lbstam,,سرقو لييا لبستام
wach 3ndk lflos,,واش عندك لفلوس
daw liya flosi,,داو لييا فلوسي
hsbt mzyan lflos,,هسبت مزيان لفلوس
slfini chi flos,,سلفيني شي فلوس
ari liya lmika dlkhbz,,أري لييا لميكا دلخبز
3jnti lyom alhadga,,عجنتي ليوم ألهادڭا
zwin khbz ch3ir,,زوين خبز شعير
kantyb lkhobz flfran,,كانتيب لخوبز فلفران
tybat lkhbz flm9la,,تيبات لخبز فلمقلا
ari liya rz9i,,أري لييا رزقي
wach ghanb9a dima hka,,واش غانبقا ديما هكا
manslfk mazal walo,,مانسلفك مازال والو
chhal slftk dak l3am,,شهال سلفتك داك لعام
lbst t9achr hmrin,,لبست تقاشر همرين
kbat 3liya had lhwayj,,كبات علييا هاد لحوايج
srwali sghir,,سروالي سغير
chhal kbiiir had lktab,,شهال كبيّير هاد لكتاب
chrit lktab mn lmktaba,,شريت لكتاب من لمكتابا
lmktaba dyalna kbira,,لمكتابا ديالنا كبيرا
ylh n9raw ktab,,يله نقراو كتاب
ghanrsm bab,,غانرسم باب
aji tchofi lklb,,أجي تشوفي لكلب
had lklb dryf,,هاد لكلب دريف
3tih yakl,,عتيه ياكل
kla lyom bzf,,كلا ليوم بزف
dratni rjli,,دراتني رجلي
sm3i ach kat9ra,,سمعي أش كاتقرا
3la slama mni jat,,علا سلاما مني جات
bnadm makayhchm,,بنادم ماكايهشم
hahowa ja tani,,هاهووا جا تاني
ghda kayna chda,,غدا كاينا شدا
sm3ti lbarh zlzal,,سمعتي لباره زلزال
tkhl3t lbarh bzf,,تخلعت لباره بزف
taht dar d jiran,,تاهت دار د جيران
lard thrkat bzf,,لارد تهركات بزف
kna ghanmoto,,كنا غانموتو
fin 3kri,,فين عكري
wach jlitih,,واش جليتيه
bghit ghir n3kr,,بغيت غير نعكر
haki khli,,هاكي خلي
3inik wlaw sfrin,,عينيك ولاو سفرين
lhayat rah zwina,,لهايات راه زوينا
stafdi mn l akhta dyalk,,ستافدي من ل أختا ديالك
ghi aji ngol lik,,غي أجي نڭول ليك
bla matji ghandrbk,,بلا ماتجي غاندربك
drbtha mza,,دربتها مزا
b9at fiya,,بقات فييا
mskina klat l3sa,,مسكينا كلات لعسا
kmlt lfilm dyali,,كملت لفيلم ديالي
kaydhkni had lmosalsal,,كايدهكني هاد لموسالسال
bghito ntfrjo kamlin,,بغيتو نتفرجو كاملين
ah hdrt m3ah,,أه هدرت معاه
ach khbark labas 3lih,,أش خبارك لاباس عليه
bgha nchri lih lo3ab,,بغا نشري ليه لوعاب
ghanchri lwldi lhwayj,,غانشري لولدي لحوايج
3ziz 3liya nl3b,,عزيز علييا نلعب
mchit drt ryada lyoma,,مشيت درت ريادا ليوما
nti oumn khrjti diri riyada,,نتي ومن خرجتي ديري رييادا
wach khrjtou fsbah bkri,,واش خرجتو فسباه بكري
wach mchitou lghaba limwalfin kanmchiw liha,,واش مشيتو لغابا ليموالفين كانمشيو ليها
ana makanhmlch ndir riyada tmak,,أنا ماكانهملش ندير رييادا تماك
kanfadal dik lblasa limwalfin kanmchiw liha,,كانفادال ديك لبلاسا ليموالفين كانمشيو ليها
ana kandir riyada flasal,,أنا كاندير رييادا فلاسال
imta bditi flasal,,إمتا بديتي فلاسال
bdit flasal mn chhal hadi,,بديت فلاسال من شهال هادي
imta ghaytib dak l3cha li drti,,إمتا غايتيب داك لعشا لي درتي
iwa rah kayakhd chwiya dlw9t,,إوا راه كاياخد شوييا دلوقت
ylh srbi rah mazal tab3ani lkhdma,,يله سربي راه مازال تابعاني لخدما
wakha hta wkan tsali,,واخا هتا وكان تسالي
ylh nmchiw ndoro bima tsaliw,,يله نمشيو ندورو بيما تساليو
wakha fin bghiti ndoro lyom,,واخا فين بغيتي ندورو ليوم
nmchiw lbhr wa9ila,,نمشيو لبهر واقيلا
3rfti skhoon lhal lyoma albnat,,عرفتي سخون لحال ليوما ألبنات
hiya nmchiw lbhr,,هييا نمشيو لبهر
ylh nmchiw lih db albnat,,يله نمشيو ليه دب ألبنات
wakha iwa srbi rah mcha lhal,,واخا إوا سربي راه مشا لحال
zwin lbhr lyom bzf,,زوين لبهر ليوم بزف
wach ghat3omo ntoma,,واش غاتعومو نتوما
khsna darori n3omo,,خسنا داروري نعومو
ila salina nmchiw ntghdaw,,إلا سالينا نمشيو نتغداو
kayna wahd l9hwa zwina hna,,كاينا واهد لقهوا زوينا هنا
bghiti nmchiw ldik l9hwa,,بغيتي نمشيو لديك لقهوا
ylh nmchi naklo db,,يله نمشي ناكلو دب
wakha ylh ntmchaw chwiya,,واخا يله نتمشاو شوييا
3tini nchrb m3ak.,,عتيني نشرب معاك.
khs tchrbi mzyan lma rah mohim bzf.,,خس تشربي مزيان لما راه موهيم بزف.
chal t9riban katchrbi fnhar.,,شال تقريبان كاتشربي فنهار.
ylh nkhrjo rah 9nt.,,يله نخرجو راه قنت.
"kanchrb fnhar 1ltal 1,5l.",,"كانشرب فنهار 1لتال 1,خل."
hadi 9r3a kbiiira dyal lma.,,هادي قرعا كبيّيرا ديال لما.
hadi 9r3a sghira .,,هادي قرعا سغيرا .
wach had lma skhon?,,واش هاد لما سخون?
wach chrbti lyoma mzyan?,,واش شربتي ليوما مزيان?
